time,throughput_mbps
6.5,1.61445
6.55,6.88128
6.6,6.88128
6.65,7.04512
6.7,7.20896
6.75,6.88128
6.8,7.04512
6.85,6.88128
6.9,6.88128
6.95,7.20896
7,7.04512
7.05,6.88128
7.1,6.88128
7.15,7.04512
7.2,7.20896
7.25,6.88128
7.3,7.04512
7.35,6.88128
7.4,6.88128
7.45,7.3728
7.5,6.88128
7.55,6.88128
7.6,6.88128
7.65,7.04512
7.7,7.20896
7.75,6.88128
7.8,7.04512
7.85,6.88128
7.9,7.20896
7.95,7.04512
8,6.88128
8.05,1.96608
8.1,1.96608
8.15,2.12992
8.2,1.96608
8.25,5.7344
8.3,6.06208
8.35,5.89824
8.4,6.22592
8.45,5.89824
8.5,6.06208
8.55,5.89824
8.6,5.89824
8.65,6.22592
8.7,6.06208
8.75,5.89824
8.8,5.89824
8.85,5.89824
8.9,6.22592
8.95,6.06208
9,5.7344
9.05,6.06208
9.1,5.89824
9.15,6.22592
9.2,6.06208
9.25,5.89824
9.3,5.89824
9.35,6.22592
9.4,5.89824
9.45,5.89824
9.5,6.06208
